X,Y,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,result_num,status,formatted_,place_id,location_t,latlong,icon_url
6.6907173,51.2503512,Meerbusch,"46904","49876","52104","55175","54318","56415",Nordrhein-Westfalen,"1","0",OK,"Meerbusch, Germany",ChIJP1edGZG2uEcRr8cLtESpXOs,APPROXIMATE,"51.2503512,6.690717299999999",./0.png
7.7953337,51.4377453,Menden (Sauerland),"30109","53337","56527","59239","55496","52608",Nordrhein-Westfalen,"1","0",OK,"Menden, Germany",ChIJb1E7NeZpuUcRcIkqSvxgJwQ,APPROXIMATE,"51.4377453,7.7953337",./0.png
8.8949206,52.2964919,Minden,"48860","77713","78145","83079","82114","81716",Nordrhein-Westfalen,"1","0",OK,"Minden, Germany",ChIJs3Xg-gR0ukcRVQlchEGM8NA,APPROXIMATE,"52.2964919,8.894920599999999",./0.png
6.6408148,51.4516041,Moers,"53410","99923","104595","107062","105506","103902",Nordrhein-Westfalen,"1","0",OK,"Moers, Germany",ChIJG-aD6wC9uEcR0T-wZt6zD0Q,APPROXIMATE,"51.4516041,6.640814799999999",./0.png
6.4428041,51.1804572,MÃ¶nchengladbach,"151085","258424","259436","263014","257993","261034",Nordrhein-Westfalen,"1","0",OK,"Mönchengladbach, Germany",ChIJaWRATJisuEcRUMi_x4rNRVQ,APPROXIMATE,"51.1804572,6.4428041",./0.png
6.8845226,51.4185682,MÃ¼lheim an der Ruhr,"192183","181279","177681","172862","167344","170632",Nordrhein-Westfalen,"1","0",OK,"Mülheim, Germany",ChIJM4zKXBTBuEcRgRv_MrP53Ns,APPROXIMATE,"51.4185682,6.884522599999999",./0.png
-73.993641,40.7447221,MÃ¼nchen,"1311978","1298941","1229026","1210223","1353186","1484226",Bayern,"3","0",OK,"Smithfield Hall, 138 W 25th St, New York, NY 10001, USA",ChIJ_XB_I6VZwokRbuAtX7tITWw,ROOFTOP,"40.7447221,-73.993641",./0.png
7.6261347,51.9606649,MÃ¼nster,"198878","269696","259438","265609","279803","315293",Nordrhein-Westfalen,"1","0",OK,"Münster, Germany",ChIJ32D3mcO6uUcR6yjze6dM6yE,APPROXIMATE,"51.9606649,7.6261347",./0.png
10.0060398,48.3906042,Neu-Ulm,"27925","47415","46264","50188","53504","58978",Bayern,"1","0",OK,"Neu-Ulm, Germany",ChIJPRlcsfJmmUcRqw5F4zBnSWw,APPROXIMATE,"48.3906042,10.0060398",./0.png
13.2779269,53.5678292,Neubrandenburg,"46087","79006","89284","73318","65282","63761",Mecklenburg-Vorpommern,"1","0",OK,"Neubrandenburg, Germany",ChIJ2YMn7DbDq0cRoIKEregaJQQ,APPROXIMATE,"53.5678292,13.2779269",./0.png
9.97043,54.08996,NeumÃ¼nster,"86133","80145","80743","79831","76830","80196",Schleswig-Holstein,"1","0",OK,"Rendsburger Str. 173, 24537 Neumünster, Germany",ChIJPyIr15lLskcRa_cUdm84Tzo,ROOFTOP,"54.08996,9.97043",./0.png
6.6879511,51.2041968,Neuss,"116013","149334","147019","150013","151388","153896",Nordrhein-Westfalen,"1","0",OK,"Neuss, Germany",ChIJTeoaMQC1uEcRk5j5J5izBcU,APPROXIMATE,"51.2041968,6.6879511",./0.png
8.1486886,49.3501864,Neustadt an der WeinstraÃŸe,"50952","50328","51988","53658","52855","53264",Rheinland-Pfalz,"1","0",OK,"Neustadt, Germany",ChIJ78ORlJBIlkcRsOZRn-iDw4s,APPROXIMATE,"49.3501864,8.1486886",./0.png
7.4664546,50.4361866,Neuwied,"62666","60485","62075","67057","64318","64765",Rheinland-Pfalz,"1","0",OK,"Neuwied, Germany",ChIJJUkjm8RhvkcRJP92atfG9EU,APPROXIMATE,"50.4361866,7.4664546",./0.png
10.0008798,53.6993066,Norderstedt,"55770","65301","68450","71523","71992","79357",Schleswig-Holstein,"1","0",OK,"Norderstedt, Germany",ChIJn6ikStEnskcRsDZYxmOJJAQ,APPROXIMATE,"53.6993066,10.0008798",./0.png
